COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,COUNTY NAME,STATE,Health_District,Lab_Report_Date,Number_of_PCR_Testing_Encounters,Number_of_Positive_PCR_Testing_Encounters,Total_Number_of_Testing_Encounters,Total_Number_of_Positive_Testing_Encounters
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/7/2020,240,18,276,20
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/8/2020,226,8,278,11
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/9/2020,311,22,339,25
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/10/2020,198,14,207,15
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/11/2020,156,6,166,7
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/12/2020,140,3,177,4
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/13/2020,249,15,282,17
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/14/2020,191,10,232,13
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/15/2020,152,6,190,9
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/16/2020,221,17,240,17
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/17/2020,362,78,371,78
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/18/2020,124,14,125,14
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/19/2020,157,12,181,12
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/20/2020,282,20,318,24
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/21/2020,184,26,208,27
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/22/2020,189,15,207,15
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/23/2020,205,18,240,18
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/24/2020,213,19,236,19
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/25/2020,139,4,143,4
